"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:tedx-galway-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:bradlads-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:uptown-funk-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:fitzmaurice-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#entitled","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:branwen-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:nhs-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#regrets","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:andysc-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:ie-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:cc-by-nc-nd-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch001.xhtml#fig:kapow-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:rabbit-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:lemn-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#fig:geekout-fig","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#experiencing","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#mycvpj","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#writing","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#speaking","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/1r/n03xtjln62vbxs_v94txs26m0000gp/T/bdb00c50-82f2-4304-91b2-e211747d4cd1/cTemp/mTemp/mobi-akP8PP/EPUB/text/ch002.xhtml#hearing","","","",""
